co_fips,co_name,state,mcode,mname,inflow2011_12,outflow2011_12,netflow2011_12,inflow2012_13,outflow2012_13,netflow2012_13,inflow2013_14,outflow2013_14,netflow2013_14,inflow2014_15,outflow2014_15,netflow2014_15,inflow2015_16,outflow2015_16,netflow2015_16,inflow2016_17,outflow2016_17,netflow2016_17,inflow2017_18,outflow2017_18,netflow2017_18,tot_inflow,tot_outflow,tot_netflow
22071,"Orleans Parish, LA",LA,35380,"New Orleans-Metairie, LA",218,316,-98,204,331,-127,178,325,-147,131,216,-85,238,426,-188,343,467,-124,270,250,20,1582,2331,-749
45079,"Richland County, SC",SC,17900,"Columbia, SC",217,247,-30,189,288,-99,141,130,11,82,113,-31,128,163,-35,156,296,-140,113,220,-107,1026,1457,-431
42029,"Chester County, PA",PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",217,281,-64,264,292,-28,217,271,-54,201,164,37,219,208,11,239,332,-93,232,213,19,1589,1761,-172
55079,"Milwaukee County, WI",WI,33340,"Milwaukee-Waukesha, WI",215,225,-10,193,216,-23,188,177,11,90,129,-39,194,158,36,179,264,-85,118,153,-35,1177,1322,-145
12111,"St. Lucie County, FL",FL,38940,"Port St. Lucie, FL",207,418,-211,216,370,-154,131,384,-253,74,350,-276,82,479,-397,104,579,-475,109,460,-351,923,3040,-2117
37133,"Onslow County, NC",NC,27340,"Jacksonville, NC",206,150,56,168,175,-7,99,153,-54,39,163,-124,75,75,0,172,191,-19,42,183,-141,801,1090,-289
48085,"Collin County, TX",TX,19100,"Dallas-Fort Worth-Arlington, TX",206,343,-137,230,368,-138,189,390,-201,141,257,-116,194,419,-225,247,674,-427,231,457,-226,1438,2908,-1470
45019,"Charleston County, SC",SC,16700,"Charleston-North Charleston, SC",203,286,-83,166,318,-152,150,334,-184,145,151,-6,125,472,-347,216,476,-260,141,374,-233,1146,2411,-1265
13063,"Clayton County, GA",GA,12060,"Atlanta-Sandy Springs-Alpharetta, GA",201,379,-178,325,291,34,150,340,-190,52,336,-284,61,443,-382,103,509,-406,157,380,-223,1049,2678,-1629
53053,"Pierce County, WA",WA,42660,"Seattle-Tacoma-Bellevue, WA",200,155,45,113,191,-78,131,143,-12,28,83,-55,62,155,-93,125,142,-17,74,213,-139,733,1082,-349
17097,"Lake County, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN-WI",197,209,-12,181,218,-37,119,158,-39,116,116,0,125,83,42,178,134,44,110,102,8,1026,1020,6
42069,"Lackawanna County, PA",PA,42540,"Scranton--Wilkes-Barre, PA",196,332,-136,186,270,-84,153,282,-129,150,271,-121,97,307,-210,168,483,-315,99,383,-284,1049,2328,-1279
17043,"DuPage County, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN-WI",196,165,31,200,177,23,149,179,-30,103,176,-73,116,157,-41,166,301,-135,131,248,-117,1061,1403,-342
42043,"Dauphin County, PA",PA,25420,"Harrisburg-Carlisle, PA",192,293,-101,180,323,-143,173,311,-138,82,322,-240,98,307,-209,186,549,-363,191,537,-346,1102,2642,-1540
42133,"York County, PA",PA,49620,"York-Hanover, PA",190,292,-102,153,278,-125,108,251,-143,34,135,-101,68,229,-161,108,427,-319,30,319,-289,691,1931,-1240
25015,"Hampshire County, MA",MA,44140,"Springfield, MA",190,169,21,119,198,-79,136,157,-21,90,98,-8,102,114,-12,138,235,-97,161,119,42,936,1090,-154
51087,"Henrico County, VA",VA,40060,"Richmond, VA",190,339,-149,189,310,-121,163,287,-124,178,240,-62,166,293,-127,170,297,-127,145,328,-183,1201,2094,-893
36083,"Rensselaer County, NY",NY,10580,"Albany-Schenectady-Troy, NY",189,255,-66,209,243,-34,161,278,-117,137,244,-107,129,335,-206,209,308,-99,147,249,-102,1181,1912,-731
01073,"Jefferson County, AL",AL,13820,"Birmingham-Hoover, AL",181,177,4,157,184,-27,85,117,-32,42,39,3,119,53,66,116,114,2,99,159,-60,799,843,-44
48141,"El Paso County, TX",TX,21340,"El Paso, TX",181,189,-8,152,171,-19,84,134,-50,58,98,-40,34,158,-124,161,194,-33,116,130,-14,786,1074,-288
36091,"Saratoga County, NY",NY,10580,"Albany-Schenectady-Troy, NY",180,214,-34,192,281,-89,167,225,-58,175,251,-76,201,283,-82,182,356,-174,194,296,-102,1291,1906,-615
13051,"Chatham County, GA",GA,42340,"Savannah, GA",179,209,-30,198,179,19,80,169,-89,43,99,-56,96,105,-9,161,222,-61,118,151,-33,875,1134,-259
48157,"Fort Bend County, TX",TX,26420,"Houston-The Woodlands-Sugar Land, TX",178,260,-82,110,333,-223,104,300,-196,47,246,-199,79,406,-327,184,563,-379,194,393,-199,896,2501,-1605
06067,"Sacramento County, CA",CA,40900,"Sacramento-Roseville-Folsom, CA",176,185,-9,174,256,-82,187,205,-18,173,163,10,141,265,-124,141,440,-299,186,372,-186,1178,1886,-708
24027,"Howard County, MD",MD,12580,"Baltimore-Columbia-Towson, MD",174,266,-92,191,296,-105,134,259,-125,153,144,9,183,215,-32,236,384,-148,184,262,-78,1255,1826,-571
51760,"Richmond city, VA",VA,40060,"Richmond, VA",174,286,-112,235,325,-90,179,305,-126,162,205,-43,301,343,-42,237,488,-251,276,306,-30,1564,2258,-694
12115,"Sarasota County, FL",FL,35840,"North Port-Sarasota-Bradenton, FL",170,319,-149,205,316,-111,135,336,-201,107,211,-104,140,402,-262,115,426,-311,161,361,-200,1033,2371,-1338
45045,"Greenville County, SC",SC,24860,"Greenville-Anderson, SC",167,186,-19,71,157,-86,37,228,-191,53,52,1,40,197,-157,76,180,-104,76,207,-131,520,1207,-687
51510,"Alexandria city, VA",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",166,196,-30,159,247,-88,162,214,-52,123,145,-22,172,248,-76,211,396,-185,143,192,-49,1136,1638,-502
25001,"Barnstable County, MA",MA,12700,"Barnstable Town, MA",163,215,-52,164,214,-50,154,184,-30,114,177,-63,128,113,15,102,265,-163,93,192,-99,918,1360,-442
22051,"Jefferson Parish, LA",LA,35380,"New Orleans-Metairie, LA",163,201,-38,136,211,-75,84,193,-109,75,151,-76,29,195,-166,99,215,-116,72,133,-61,658,1299,-641
36065,"Oneida County, NY",NY,46540,"Utica-Rome, NY",161,252,-91,176,312,-136,149,258,-109,114,276,-162,131,324,-193,131,390,-259,145,343,-198,1007,2155,-1148
04019,"Pima County, AZ",AZ,46060,"Tucson, AZ",160,202,-42,169,192,-23,131,186,-55,78,112,-34,108,172,-64,167,244,-77,107,192,-85,920,1300,-380
51700,"Newport News city, VA",VA,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",154,217,-63,147,182,-35,49,197,-148,85,41,44,44,188,-144,38,206,-168,0,162,-162,517,1193,-676
08013,"Boulder County, CO",CO,14500,"Boulder, CO",153,180,-27,152,208,-56,111,236,-125,80,167,-87,135,252,-117,167,407,-240,125,257,-132,923,1707,-784
25005,"Bristol County, MA",MA,39300,"Providence-Warwick, RI-MA",152,217,-65,155,245,-90,157,232,-75,159,72,87,68,208,-140,96,225,-129,111,220,-109,898,1419,-521
33011,"Hillsborough County, NH",NH,31700,"Manchester-Nashua, NH",151,213,-62,200,234,-34,158,174,-16,116,197,-81,82,173,-91,137,221,-84,106,240,-134,950,1452,-502
48027,"Bell County, TX",TX,28660,"Killeen-Temple, TX",150,190,-40,154,220,-66,42,165,-123,0,119,-119,37,163,-126,83,221,-138,52,187,-135,518,1265,-747
34037,"Sussex County, NJ",NJ,35620,"New York-Newark-Jersey City, NY-NJ-PA",149,162,-13,114,145,-31,143,160,-17,129,90,39,111,122,-11,101,199,-98,126,208,-82,873,1086,-213
12081,"Manatee County, FL",FL,35840,"North Port-Sarasota-Bradenton, FL",147,187,-40,138,207,-69,80,156,-76,25,119,-94,63,202,-139,40,345,-305,30,170,-140,523,1386,-863
12069,"Lake County, FL",FL,36740,"Orlando-Kissimmee-Sanford, FL",141,352,-211,169,356,-187,71,356,-285,75,249,-174,66,480,-414,98,578,-480,33,471,-438,653,2842,-2189
12001,"Alachua County, FL",FL,23540,"Gainesville, FL",139,160,-21,144,129,15,85,83,2,76,40,36,79,106,-27,120,155,-35,121,48,73,764,721,43
49049,"Utah County, UT",UT,39340,"Provo-Orem, UT",136,37,99,48,51,-3,53,53,0,63,0,63,54,31,23,106,53,53,77,45,32,537,270,267
36045,"Jefferson County, NY",NY,48060,"Watertown-Fort Drum, NY",136,152,-16,131,150,-19,0,90,-90,51,47,4,35,107,-72,43,168,-125,114,134,-20,510,848,-338
25023,"Plymouth County, MA",MA,14460,"Boston-Cambridge-Newton, MA-NH",135,174,-39,158,179,-21,159,168,-9,108,78,30,97,152,-55,137,221,-84,119,198,-79,913,1170,-257
36021,"Columbia County, NY",NY,26460,"Hudson, NY",134,304,-170,182,287,-105,202,296,-94,86,261,-175,143,292,-149,119,400,-281,139,397,-258,1005,2237,-1232
23005,"Cumberland County, ME",ME,38860,"Portland-South Portland, ME",134,180,-46,145,192,-47,155,234,-79,112,164,-52,109,294,-185,150,343,-193,161,262,-101,966,1669,-703
08005,"Arapahoe County, CO",CO,19740,"Denver-Aurora-Lakewood, CO",132,171,-39,152,204,-52,115,203,-88,89,145,-56,60,190,-130,115,278,-163,91,259,-168,754,1450,-696
