ccode,cname,mcode,mname,mtype
48441,"Taylor County, TX",10180,"Abilene, TX",Metropolitan Statistical Area
48449,"Titus County, TX",34420,"Mount Pleasant, TX",Micropolitan Statistical Area
48451,"Tom Green County, TX",41660,"San Angelo, TX",Metropolitan Statistical Area
48453,"Travis County, TX",12420,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area
48459,"Upshur County, TX",30980,"Longview, TX",Metropolitan Statistical Area
48463,"Uvalde County, TX",46620,"Uvalde, TX",Micropolitan Statistical Area
48465,"Val Verde County, TX",19620,"Del Rio, TX",Micropolitan Statistical Area
48469,"Victoria County, TX",47020,"Victoria, TX",Metropolitan Statistical Area
48471,"Walker County, TX",26660,"Huntsville, TX",Micropolitan Statistical Area
48473,"Waller County, TX",26420,"Houston-The Woodlands-Sugar Land, TX",Metropolitan Statistical Area
48477,"Washington County, TX",14780,"Brenham, TX",Micropolitan Statistical Area
48479,"Webb County, TX",29700,"Laredo, TX",Metropolitan Statistical Area
48481,"Wharton County, TX",20900,"El Campo, TX",Micropolitan Statistical Area
48485,"Wichita County, TX",48660,"Wichita Falls, TX",Metropolitan Statistical Area
48487,"Wilbarger County, TX",46900,"Vernon, TX",Micropolitan Statistical Area
48489,"Willacy County, TX",39700,"Raymondville, TX",Micropolitan Statistical Area
48491,"Williamson County, TX",12420,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area
48493,"Wilson County, TX",41700,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area
48497,"Wise County, TX",19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area
48505,"Zapata County, TX",49820,"Zapata, TX",Micropolitan Statistical Area
49003,"Box Elder County, UT",36260,"Ogden-Clearfield, UT",Metropolitan Statistical Area
49005,"Cache County, UT",30860,"Logan, UT-ID",Metropolitan Statistical Area
49007,"Carbon County, UT",39220,"Price, UT",Micropolitan Statistical Area
49011,"Davis County, UT",36260,"Ogden-Clearfield, UT",Metropolitan Statistical Area
49021,"Iron County, UT",16260,"Cedar City, UT",Micropolitan Statistical Area
49023,"Juab County, UT",39340,"Provo-Orem, UT",Metropolitan Statistical Area
49029,"Morgan County, UT",36260,"Ogden-Clearfield, UT",Metropolitan Statistical Area
49035,"Salt Lake County, UT",41620,"Salt Lake City, UT",Metropolitan Statistical Area
49043,"Summit County, UT",25720,"Heber, UT",Micropolitan Statistical Area
49045,"Tooele County, UT",41620,"Salt Lake City, UT",Metropolitan Statistical Area
49047,"Uintah County, UT",46860,"Vernal, UT",Micropolitan Statistical Area
49049,"Utah County, UT",39340,"Provo-Orem, UT",Metropolitan Statistical Area
49051,"Wasatch County, UT",25720,"Heber, UT",Micropolitan Statistical Area
49053,"Washington County, UT",41100,"St. George, UT",Metropolitan Statistical Area
49057,"Weber County, UT",36260,"Ogden-Clearfield, UT",Metropolitan Statistical Area
50003,"Bennington County, VT",13540,"Bennington, VT",Micropolitan Statistical Area
50007,"Chittenden County, VT",15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area
50011,"Franklin County, VT",15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area
50013,"Grand Isle County, VT",15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area
50017,"Orange County, VT",30100,"Lebanon, NH-VT",Micropolitan Statistical Area
50021,"Rutland County, VT",40860,"Rutland, VT",Micropolitan Statistical Area
50023,"Washington County, VT",12740,"Barre, VT",Micropolitan Statistical Area
50027,"Windsor County, VT",30100,"Lebanon, NH-VT",Micropolitan Statistical Area
51003,"Albemarle County, VA",16820,"Charlottesville, VA",Metropolitan Statistical Area
51007,"Amelia County, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51009,"Amherst County, VA",31340,"Lynchburg, VA",Metropolitan Statistical Area
51011,"Appomattox County, VA",31340,"Lynchburg, VA",Metropolitan Statistical Area
51013,"Arlington County, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51015,"Augusta County, VA",44420,"Staunton, VA",Metropolitan Statistical Area
51019,"Bedford County, VA",31340,"Lynchburg, VA",Metropolitan Statistical Area
51021,"Bland County, VA",14140,"Bluefield, WV-VA",Micropolitan Statistical Area
51023,"Botetourt County, VA",40220,"Roanoke, VA",Metropolitan Statistical Area
51031,"Campbell County, VA",31340,"Lynchburg, VA",Metropolitan Statistical Area
51036,"Charles City County, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51041,"Chesterfield County, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51043,"Clarke County, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51045,"Craig County, VA",40220,"Roanoke, VA",Metropolitan Statistical Area
51047,"Culpeper County, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51053,"Dinwiddie County, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51059,"Fairfax County, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51061,"Fauquier County, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51065,"Fluvanna County, VA",16820,"Charlottesville, VA",Metropolitan Statistical Area
51067,"Franklin County, VA",40220,"Roanoke, VA",Metropolitan Statistical Area
51069,"Frederick County, VA",49020,"Winchester, VA-WV",Metropolitan Statistical Area
51071,"Giles County, VA",13980,"Blacksburg-Christiansburg, VA",Metropolitan Statistical Area
51073,"Gloucester County, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51075,"Goochland County, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51079,"Greene County, VA",16820,"Charlottesville, VA",Metropolitan Statistical Area
51085,"Hanover County, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51087,"Henrico County, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51089,"Henry County, VA",32300,"Martinsville, VA",Micropolitan Statistical Area
51093,"Isle of Wight County, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51095,"James City County, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51097,"King and Queen County, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51101,"King William County, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51107,"Loudoun County, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51113,"Madison County, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51115,"Mathews County, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51121,"Montgomery County, VA",13980,"Blacksburg-Christiansburg, VA",Metropolitan Statistical Area
51125,"Nelson County, VA",16820,"Charlottesville, VA",Metropolitan Statistical Area
51127,"New Kent County, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51143,"Pittsylvania County, VA",19260,"Danville, VA",Micropolitan Statistical Area
51145,"Powhatan County, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51149,"Prince George County, VA",40060,"Richmond, VA",Metropolitan Statistical Area
