ccode,cname,mcode,mname,mtype
55139,"Winnebago County, WI",36780,"Oshkosh-Neenah, WI",Metropolitan Statistical Area
55141,"Wood County, WI",49220,"Wisconsin Rapids-Marshfield, WI",Micropolitan Statistical Area
56001,"Albany County, WY",29660,"Laramie, WY",Micropolitan Statistical Area
56005,"Campbell County, WY",23940,"Gillette, WY",Micropolitan Statistical Area
56011,"Crook County, WY",23940,"Gillette, WY",Micropolitan Statistical Area
56013,"Fremont County, WY",40180,"Riverton, WY",Micropolitan Statistical Area
56021,"Laramie County, WY",16940,"Cheyenne, WY",Metropolitan Statistical Area
56025,"Natrona County, WY",16220,"Casper, WY",Metropolitan Statistical Area
56033,"Sheridan County, WY",43260,"Sheridan, WY",Micropolitan Statistical Area
56037,"Sweetwater County, WY",40540,"Rock Springs, WY",Micropolitan Statistical Area
56039,"Teton County, WY",27220,"Jackson, WY-ID",Micropolitan Statistical Area
56041,"Uinta County, WY",21740,"Evanston, WY",Micropolitan Statistical Area
56045,"Weston County, WY",23940,"Gillette, WY",Micropolitan Statistical Area
